id,general_team,general_city,general_team_name,full_name,is_active,draft_team,draft_city,draft_team_name,organization_type,seniority,position,from_year,to_year,g-league,greatest_75_flag,height_definitivo,weight,hub,num_equipos
1631094,1610612753,Orlando,Magic,Paolo Banchero,Active,1610612753.0,Orlando,Magic,College/University,1.0,Forward,2022.0,2023.0,No,No,208.28,113.4,USA,1
1628372,1610612766,Charlotte,Hornets,Dennis Smith Jr.,Active,1610612742.0,Dallas,Mavericks,College/University,6.0,Guard,2017.0,2023.0,No,No,187.96,93.0,USA,5
201959,1610612764,Washington,Wizards,Taj Gibson,Active,1610612741.0,Chicago,Bulls,College/University,14.0,Forward,2009.0,2023.0,No,No,205.74,105.2,USA,5
1631115,1610612748,Miami,Heat,Orlando Robinson,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Center,2022.0,2023.0,Yes,No,208.28,106.6,USA,1
1631246,1610612763,Memphis,Grizzlies,Vince Williams Jr.,Active,1610612763.0,Memphis,Grizzlies,College/University,1.0,Guard,2022.0,2023.0,Yes,No,193.04,93.0,USA,1
1631207,1610612741,Chicago,Bulls,Dalen Terry,Active,1610612741.0,Chicago,Bulls,College/University,1.0,Forward,2022.0,2023.0,Yes,No,200.66,88.5,USA,1
1630692,1610612764,Washington,Wizards,Jordan Goodwin,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Guard,2021.0,2023.0,Yes,No,190.5,90.7,USA,1
1631213,1610612737,Atlanta,Hawks,Tyrese Martin,Active,1610612744.0,Golden State,Warriors,College/University,1.0,Guard,2022.0,2023.0,Yes,No,198.12,97.5,USA,1
1628420,1610612764,Washington,Wizards,Monte Morris,Active,1610612743.0,Denver,Nuggets,College/University,6.0,Guard,2017.0,2023.0,Yes,No,187.96,83.0,USA,2
1630180,1610612765,Detroit,Pistons,Saddiq Bey,Active,1610612751.0,Brooklyn,Nets,College/University,3.0,Forward,2020.0,2023.0,No,No,200.66,97.5,USA,2
1630639,1610612750,Minnesota,Timberwolves,A.J. Lawson,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2023.0,Yes,No,198.12,81.2,North America,2
201609,1610612741,Chicago,Bulls,Goran Dragic,Active,1610612759.0,San Antonio,Spurs,Other Team/Club,15.0,Guard,2008.0,2023.0,No,No,193.04,86.2,Eastern Europe,8
1630240,1610612755,Philadelphia,76ers,Saben Lee,Inactive,1610612762.0,Utah,Jazz,College/University,3.0,Guard,2020.0,2023.0,Yes,No,187.96,83.0,USA,3
1629234,1610612757,Portland,Trail Blazers,Drew Eubanks,Active,0.0,Undrafted,Undrafted,Unknown,5.0,Forward-Center,2018.0,2023.0,Yes,No,208.28,111.1,USA,2
202711,1610612765,Detroit,Pistons,Bojan Bogdanovic,Active,1610612748.0,Miami,Heat,Other Team/Club,9.0,Forward,2014.0,2023.0,No,No,200.66,102.5,Eastern Europe,4
203457,1610612765,Detroit,Pistons,Nerlens Noel,Active,1610612740.0,New Orleans,Pelicans,College/University,9.0,Center-Forward,2013.0,2022.0,No,No,208.28,99.8,USA,5
202689,1610612742,Dallas,Mavericks,Kemba Walker,Active,1610612766.0,Charlotte,Bobcats,College/University,12.0,Guard,2011.0,2022.0,No,No,182.88,83.5,USA,4
1629653,1610612764,Washington,Wizards,Devon Dotson,Active,0.0,Undrafted,Undrafted,Unknown,3.0,Guard,2020.0,2022.0,Yes,No,185.42,83.9,USA,2
1630699,1610612749,Milwaukee,Bucks,MarJon Beauchamp,Active,1610612749.0,Milwaukee,Bucks,Other Team/Club,1.0,Forward,2021.0,2023.0,Yes,No,200.66,90.3,USA,1
1629610,1610612752,New York,Knicks,DaQuan Jeffries,Active,0.0,Undrafted,Undrafted,Unknown,4.0,Guard-Forward,2019.0,2023.0,Yes,No,195.58,100.7,USA,4
1628410,1610612751,Brooklyn,Nets,Edmond Sumner,Active,1610612740.0,New Orleans,Pelicans,College/University,5.0,Guard,2017.0,2023.0,Yes,No,193.04,88.9,USA,2
1630169,1610612754,Indiana,Pacers,Tyrese Haliburton,Active,1610612758.0,Sacramento,Kings,College/University,3.0,Guard,2020.0,2023.0,No,No,195.58,83.9,USA,2
201949,1610612754,Indiana,Pacers,James Johnson,Active,1610612741.0,Chicago,Bulls,College/University,14.0,Forward,2009.0,2023.0,Yes,No,200.66,108.9,USA,7
1631113,1610612763,Memphis,Grizzlies,Kennedy Chandler,Active,1610612759.0,San Antonio,Spurs,College/University,1.0,Guard,2022.0,2022.0,Yes,No,180.34,77.1,USA,1
1628374,1610612762,Utah,Jazz,Lauri Markkanen,Active,1610612750.0,Minnesota,Timberwolves,College/University,6.0,Forward-Center,2017.0,2023.0,No,No,213.36,108.9,Western Europe,3
